Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,3
Adaptive Strategy,1,COOPERATE,3
Default GPT-4-omni,2,COOPERATE,6
Adaptive Strategy,2,COOPERATE,6
Default GPT-4-omni,3,COOPERATE,9
Adaptive Strategy,3,COOPERATE,9
Default GPT-4-omni,4,COOPERATE,12
Adaptive Strategy,4,COOPERATE,12
Default GPT-4-omni,5,COOPERATE,15
Adaptive Strategy,5,COOPERATE,15
Default GPT-4-omni,6,COOPERATE,18
Adaptive Strategy,6,COOPERATE,18
Default GPT-4-omni,7,COOPERATE,21
Adaptive Strategy,7,COOPERATE,21
Default GPT-4-omni,8,COOPERATE,24
Adaptive Strategy,8,COOPERATE,24
Default GPT-4-omni,9,COOPERATE,27
Adaptive Strategy,9,COOPERATE,27
Default GPT-4-omni,10,COOPERATE,30
Adaptive Strategy,10,COOPERATE,30
