Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,3
Always Cooperate,1,COOPERATE,3
Default GPT-4-omni,2,COOPERATE,6
Always Cooperate,2,COOPERATE,6
Default GPT-4-omni,3,COOPERATE,9
Always Cooperate,3,COOPERATE,9
Default GPT-4-omni,4,COOPERATE,12
Always Cooperate,4,COOPERATE,12
Default GPT-4-omni,5,COOPERATE,15
Always Cooperate,5,COOPERATE,15
Default GPT-4-omni,6,COOPERATE,18
Always Cooperate,6,COOPERATE,18
Default GPT-4-omni,7,COOPERATE,21
Always Cooperate,7,COOPERATE,21
Default GPT-4-omni,8,COOPERATE,24
Always Cooperate,8,COOPERATE,24
Default GPT-4-omni,9,COOPERATE,27
Always Cooperate,9,COOPERATE,27
Default GPT-4-omni,10,COOPERATE,30
Always Cooperate,10,COOPERATE,30
