Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,0
Hard Majority,1,DEFECT,5
Default GPT-4-omni,2,DEFECT,5
Hard Majority,2,COOPERATE,5
Default GPT-4-omni,3,COOPERATE,5
Hard Majority,3,DEFECT,10
Default GPT-4-omni,4,DEFECT,10
Hard Majority,4,COOPERATE,10
Default GPT-4-omni,5,COOPERATE,10
Hard Majority,5,DEFECT,15
Default GPT-4-omni,6,DEFECT,15
Hard Majority,6,COOPERATE,15
Default GPT-4-omni,7,DEFECT,15
Hard Majority,7,DEFECT,15
Default GPT-4-omni,8,DEFECT,15
Hard Majority,8,DEFECT,15
Default GPT-4-omni,9,DEFECT,15
Hard Majority,9,DEFECT,15
Default GPT-4-omni,10,DEFECT,15
Hard Majority,10,DEFECT,15
