Agent Name,Round,Choice,Score
Default GPT-3.5-Turbo,1,DEFECT,0
Hard Majority,1,DEFECT,0
Default GPT-3.5-Turbo,2,COOPERATE,0
Hard Majority,2,DEFECT,5
Default GPT-3.5-Turbo,3,COOPERATE,0
Hard Majority,3,DEFECT,10
Default GPT-3.5-Turbo,4,DEFECT,5
Hard Majority,4,COOPERATE,10
Default GPT-3.5-Turbo,5,COOPERATE,5
Hard Majority,5,DEFECT,15
Default GPT-3.5-Turbo,6,DEFECT,10
Hard Majority,6,COOPERATE,15
Default GPT-3.5-Turbo,7,COOPERATE,10
Hard Majority,7,DEFECT,20
Default GPT-3.5-Turbo,8,DEFECT,15
Hard Majority,8,COOPERATE,20
Default GPT-3.5-Turbo,9,COOPERATE,15
Hard Majority,9,DEFECT,25
Default GPT-3.5-Turbo,10,DEFECT,20
Hard Majority,10,COOPERATE,25
