Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,0
Random Strategy,1,DEFECT,5
Default GPT-4-omni,2,DEFECT,0
Random Strategy,2,DEFECT,5
Default GPT-4-omni,3,DEFECT,0
Random Strategy,3,DEFECT,5
Default GPT-4-omni,4,DEFECT,0
Random Strategy,4,DEFECT,5
Default GPT-4-omni,5,DEFECT,0
Random Strategy,5,DEFECT,5
Default GPT-4-omni,6,DEFECT,0
Random Strategy,6,DEFECT,5
Default GPT-4-omni,7,DEFECT,5
Random Strategy,7,COOPERATE,5
Default GPT-4-omni,8,COOPERATE,5
Random Strategy,8,DEFECT,10
Default GPT-4-omni,9,DEFECT,5
Random Strategy,9,DEFECT,10
Default GPT-4-omni,10,DEFECT,10
Random Strategy,10,COOPERATE,10
