Agent Name,Round,Choice,Score
Altruistic GPT-4-Omni,1,COOPERATE,3
Altruistic GPT-4-Omni,1,COOPERATE,3
Altruistic GPT-4-Omni,2,COOPERATE,6
Altruistic GPT-4-Omni,2,COOPERATE,6
Altruistic GPT-4-Omni,3,COOPERATE,9
Altruistic GPT-4-Omni,3,COOPERATE,9
Altruistic GPT-4-Omni,4,COOPERATE,12
Altruistic GPT-4-Omni,4,COOPERATE,12
Altruistic GPT-4-Omni,5,COOPERATE,15
Altruistic GPT-4-Omni,5,COOPERATE,15
Altruistic GPT-4-Omni,6,COOPERATE,18
Altruistic GPT-4-Omni,6,COOPERATE,18
Altruistic GPT-4-Omni,7,COOPERATE,21
Altruistic GPT-4-Omni,7,COOPERATE,21
Altruistic GPT-4-Omni,8,COOPERATE,24
Altruistic GPT-4-Omni,8,COOPERATE,24
Altruistic GPT-4-Omni,9,COOPERATE,27
Altruistic GPT-4-Omni,9,COOPERATE,27
Altruistic GPT-4-Omni,10,COOPERATE,30
Altruistic GPT-4-Omni,10,COOPERATE,30
Altruistic GPT-4-Omni,11,COOPERATE,33
Altruistic GPT-4-Omni,11,COOPERATE,33
Altruistic GPT-4-Omni,12,COOPERATE,36
Altruistic GPT-4-Omni,12,COOPERATE,36
Altruistic GPT-4-Omni,13,COOPERATE,39
Altruistic GPT-4-Omni,13,COOPERATE,39
Altruistic GPT-4-Omni,14,COOPERATE,42
Altruistic GPT-4-Omni,14,COOPERATE,42
Altruistic GPT-4-Omni,15,COOPERATE,45
Altruistic GPT-4-Omni,15,COOPERATE,45
Altruistic GPT-4-Omni,16,COOPERATE,48
Altruistic GPT-4-Omni,16,COOPERATE,48
Altruistic GPT-4-Omni,17,COOPERATE,51
Altruistic GPT-4-Omni,17,COOPERATE,51
Altruistic GPT-4-Omni,18,COOPERATE,54
Altruistic GPT-4-Omni,18,COOPERATE,54
Altruistic GPT-4-Omni,19,COOPERATE,57
Altruistic GPT-4-Omni,19,COOPERATE,57
Altruistic GPT-4-Omni,20,COOPERATE,60
Altruistic GPT-4-Omni,20,COOPERATE,60
