Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Adaptive Strategy,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,6
Adaptive Strategy,2,COOPERATE,6
Altruistic GPT-3.5-Turbo,3,COOPERATE,9
Adaptive Strategy,3,COOPERATE,9
Altruistic GPT-3.5-Turbo,4,COOPERATE,12
Adaptive Strategy,4,COOPERATE,12
Altruistic GPT-3.5-Turbo,5,COOPERATE,15
Adaptive Strategy,5,COOPERATE,15
Altruistic GPT-3.5-Turbo,6,COOPERATE,18
Adaptive Strategy,6,COOPERATE,18
Altruistic GPT-3.5-Turbo,7,COOPERATE,21
Adaptive Strategy,7,COOPERATE,21
Altruistic GPT-3.5-Turbo,8,COOPERATE,24
Adaptive Strategy,8,COOPERATE,24
Altruistic GPT-3.5-Turbo,9,COOPERATE,27
Adaptive Strategy,9,COOPERATE,27
Altruistic GPT-3.5-Turbo,10,COOPERATE,30
Adaptive Strategy,10,COOPERATE,30
