Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Always Cooperate,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,6
Always Cooperate,2,COOPERATE,6
Altruistic GPT-3.5-Turbo,3,COOPERATE,9
Always Cooperate,3,COOPERATE,9
Altruistic GPT-3.5-Turbo,4,COOPERATE,12
Always Cooperate,4,COOPERATE,12
Altruistic GPT-3.5-Turbo,5,COOPERATE,15
Always Cooperate,5,COOPERATE,15
Altruistic GPT-3.5-Turbo,6,COOPERATE,18
Always Cooperate,6,COOPERATE,18
Altruistic GPT-3.5-Turbo,7,COOPERATE,21
Always Cooperate,7,COOPERATE,21
Altruistic GPT-3.5-Turbo,8,COOPERATE,24
Always Cooperate,8,COOPERATE,24
Altruistic GPT-3.5-Turbo,9,COOPERATE,27
Always Cooperate,9,COOPERATE,27
Altruistic GPT-3.5-Turbo,10,COOPERATE,30
Always Cooperate,10,COOPERATE,30
