Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Defection Sensitive Tit For Tat,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,6
Defection Sensitive Tit For Tat,2,COOPERATE,6
Altruistic GPT-3.5-Turbo,3,COOPERATE,9
Defection Sensitive Tit For Tat,3,COOPERATE,9
Altruistic GPT-3.5-Turbo,4,COOPERATE,12
Defection Sensitive Tit For Tat,4,COOPERATE,12
Altruistic GPT-3.5-Turbo,5,COOPERATE,15
Defection Sensitive Tit For Tat,5,COOPERATE,15
Altruistic GPT-3.5-Turbo,6,COOPERATE,18
Defection Sensitive Tit For Tat,6,COOPERATE,18
Altruistic GPT-3.5-Turbo,7,COOPERATE,21
Defection Sensitive Tit For Tat,7,COOPERATE,21
Altruistic GPT-3.5-Turbo,8,COOPERATE,24
Defection Sensitive Tit For Tat,8,COOPERATE,24
Altruistic GPT-3.5-Turbo,9,COOPERATE,27
Defection Sensitive Tit For Tat,9,COOPERATE,27
Altruistic GPT-3.5-Turbo,10,COOPERATE,30
Defection Sensitive Tit For Tat,10,COOPERATE,30
