Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Grim Trigger,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,6
Grim Trigger,2,COOPERATE,6
Altruistic GPT-3.5-Turbo,3,COOPERATE,9
Grim Trigger,3,COOPERATE,9
Altruistic GPT-3.5-Turbo,4,COOPERATE,12
Grim Trigger,4,COOPERATE,12
Altruistic GPT-3.5-Turbo,5,COOPERATE,15
Grim Trigger,5,COOPERATE,15
Altruistic GPT-3.5-Turbo,6,COOPERATE,18
Grim Trigger,6,COOPERATE,18
Altruistic GPT-3.5-Turbo,7,COOPERATE,21
Grim Trigger,7,COOPERATE,21
Altruistic GPT-3.5-Turbo,8,COOPERATE,24
Grim Trigger,8,COOPERATE,24
Altruistic GPT-3.5-Turbo,9,COOPERATE,27
Grim Trigger,9,COOPERATE,27
Altruistic GPT-3.5-Turbo,10,COOPERATE,30
Grim Trigger,10,COOPERATE,30
