Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,0
Hard Majority,1,DEFECT,5
Altruistic GPT-3.5-Turbo,2,DEFECT,5
Hard Majority,2,COOPERATE,5
Altruistic GPT-3.5-Turbo,3,COOPERATE,5
Hard Majority,3,DEFECT,10
Altruistic GPT-3.5-Turbo,4,DEFECT,10
Hard Majority,4,COOPERATE,10
Altruistic GPT-3.5-Turbo,5,COOPERATE,10
Hard Majority,5,DEFECT,15
Altruistic GPT-3.5-Turbo,6,DEFECT,15
Hard Majority,6,COOPERATE,15
Altruistic GPT-3.5-Turbo,7,COOPERATE,15
Hard Majority,7,DEFECT,20
Altruistic GPT-3.5-Turbo,8,DEFECT,20
Hard Majority,8,COOPERATE,20
Altruistic GPT-3.5-Turbo,9,COOPERATE,20
Hard Majority,9,DEFECT,25
Altruistic GPT-3.5-Turbo,10,DEFECT,25
Hard Majority,10,COOPERATE,25
