Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Random Strategy,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,3
Random Strategy,2,DEFECT,8
Altruistic GPT-3.5-Turbo,3,DEFECT,8
Random Strategy,3,COOPERATE,8
Altruistic GPT-3.5-Turbo,4,COOPERATE,8
Random Strategy,4,DEFECT,13
Altruistic GPT-3.5-Turbo,5,DEFECT,8
Random Strategy,5,DEFECT,13
Altruistic GPT-3.5-Turbo,6,COOPERATE,11
Random Strategy,6,COOPERATE,16
Altruistic GPT-3.5-Turbo,7,COOPERATE,11
Random Strategy,7,DEFECT,21
Altruistic GPT-3.5-Turbo,8,DEFECT,16
Random Strategy,8,COOPERATE,21
Altruistic GPT-3.5-Turbo,9,COOPERATE,19
Random Strategy,9,COOPERATE,24
Altruistic GPT-3.5-Turbo,10,COOPERATE,22
Random Strategy,10,COOPERATE,27
