Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Soft Majority,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,6
Soft Majority,2,COOPERATE,6
Altruistic GPT-3.5-Turbo,3,COOPERATE,9
Soft Majority,3,COOPERATE,9
Altruistic GPT-3.5-Turbo,4,COOPERATE,12
Soft Majority,4,COOPERATE,12
Altruistic GPT-3.5-Turbo,5,COOPERATE,15
Soft Majority,5,COOPERATE,15
Altruistic GPT-3.5-Turbo,6,COOPERATE,18
Soft Majority,6,COOPERATE,18
Altruistic GPT-3.5-Turbo,7,COOPERATE,21
Soft Majority,7,COOPERATE,21
Altruistic GPT-3.5-Turbo,8,COOPERATE,24
Soft Majority,8,COOPERATE,24
Altruistic GPT-3.5-Turbo,9,COOPERATE,27
Soft Majority,9,COOPERATE,27
Altruistic GPT-3.5-Turbo,10,COOPERATE,30
Soft Majority,10,COOPERATE,30
