Agent Name,Round,Choice,Score
Altruistic GPT-3.5-Turbo,1,COOPERATE,3
Tit For Two Tats,1,COOPERATE,3
Altruistic GPT-3.5-Turbo,2,COOPERATE,6
Tit For Two Tats,2,COOPERATE,6
Altruistic GPT-3.5-Turbo,3,COOPERATE,9
Tit For Two Tats,3,COOPERATE,9
Altruistic GPT-3.5-Turbo,4,COOPERATE,12
Tit For Two Tats,4,COOPERATE,12
Altruistic GPT-3.5-Turbo,5,COOPERATE,15
Tit For Two Tats,5,COOPERATE,15
Altruistic GPT-3.5-Turbo,6,COOPERATE,18
Tit For Two Tats,6,COOPERATE,18
Altruistic GPT-3.5-Turbo,7,COOPERATE,21
Tit For Two Tats,7,COOPERATE,21
Altruistic GPT-3.5-Turbo,8,COOPERATE,24
Tit For Two Tats,8,COOPERATE,24
Altruistic GPT-3.5-Turbo,9,COOPERATE,27
Tit For Two Tats,9,COOPERATE,27
Altruistic GPT-3.5-Turbo,10,COOPERATE,30
Tit For Two Tats,10,COOPERATE,30
