Agent Name,Round,Choice,Score
Default GPT-3.5-Turbo,1,COOPERATE,0
Random Strategy,1,DEFECT,5
Default GPT-3.5-Turbo,2,COOPERATE,3
Random Strategy,2,COOPERATE,8
Default GPT-3.5-Turbo,3,COOPERATE,6
Random Strategy,3,COOPERATE,11
Default GPT-3.5-Turbo,4,COOPERATE,6
Random Strategy,4,DEFECT,16
Default GPT-3.5-Turbo,5,COOPERATE,9
Random Strategy,5,COOPERATE,19
Default GPT-3.5-Turbo,6,COOPERATE,12
Random Strategy,6,COOPERATE,22
Default GPT-3.5-Turbo,7,COOPERATE,12
Random Strategy,7,DEFECT,27
Default GPT-3.5-Turbo,8,COOPERATE,15
Random Strategy,8,COOPERATE,30
Default GPT-3.5-Turbo,9,COOPERATE,18
Random Strategy,9,COOPERATE,33
Default GPT-3.5-Turbo,10,COOPERATE,18
Random Strategy,10,DEFECT,38
