Agent Name,Round,Choice,Score
Selfish GPT-3.5-Turbo,1,COOPERATE,0
Hard Majority,1,DEFECT,5
Selfish GPT-3.5-Turbo,2,COOPERATE,3
Hard Majority,2,COOPERATE,8
Selfish GPT-3.5-Turbo,3,COOPERATE,6
Hard Majority,3,COOPERATE,11
Selfish GPT-3.5-Turbo,4,COOPERATE,9
Hard Majority,4,COOPERATE,14
Selfish GPT-3.5-Turbo,5,COOPERATE,12
Hard Majority,5,COOPERATE,17
Selfish GPT-3.5-Turbo,6,COOPERATE,15
Hard Majority,6,COOPERATE,20
Selfish GPT-3.5-Turbo,7,COOPERATE,18
Hard Majority,7,COOPERATE,23
Selfish GPT-3.5-Turbo,8,COOPERATE,21
Hard Majority,8,COOPERATE,26
Selfish GPT-3.5-Turbo,9,COOPERATE,24
Hard Majority,9,COOPERATE,29
Selfish GPT-3.5-Turbo,10,COOPERATE,27
Hard Majority,10,COOPERATE,32
