Agent Name,Round,Choice,Score
Selfish GPT-3.5-Turbo,1,COOPERATE,3
Random Strategy,1,COOPERATE,3
Selfish GPT-3.5-Turbo,2,COOPERATE,6
Random Strategy,2,COOPERATE,6
Selfish GPT-3.5-Turbo,3,COOPERATE,6
Random Strategy,3,DEFECT,11
Selfish GPT-3.5-Turbo,4,COOPERATE,9
Random Strategy,4,COOPERATE,14
Selfish GPT-3.5-Turbo,5,COOPERATE,9
Random Strategy,5,DEFECT,19
Selfish GPT-3.5-Turbo,6,COOPERATE,12
Random Strategy,6,COOPERATE,22
Selfish GPT-3.5-Turbo,7,COOPERATE,12
Random Strategy,7,DEFECT,27
Selfish GPT-3.5-Turbo,8,COOPERATE,12
Random Strategy,8,DEFECT,32
Selfish GPT-3.5-Turbo,9,DEFECT,12
Random Strategy,9,DEFECT,32
Selfish GPT-3.5-Turbo,10,DEFECT,17
Random Strategy,10,COOPERATE,32
