Agent Name,Round,Choice,Score
Selfish GPT-3.5-Turbo,1,COOPERATE,3
Tit For Tat,1,COOPERATE,3
Selfish GPT-3.5-Turbo,2,COOPERATE,6
Tit For Tat,2,COOPERATE,6
Selfish GPT-3.5-Turbo,3,COOPERATE,9
Tit For Tat,3,COOPERATE,9
Selfish GPT-3.5-Turbo,4,COOPERATE,12
Tit For Tat,4,COOPERATE,12
Selfish GPT-3.5-Turbo,5,COOPERATE,15
Tit For Tat,5,COOPERATE,15
Selfish GPT-3.5-Turbo,6,COOPERATE,18
Tit For Tat,6,COOPERATE,18
Selfish GPT-3.5-Turbo,7,COOPERATE,21
Tit For Tat,7,COOPERATE,21
Selfish GPT-3.5-Turbo,8,COOPERATE,24
Tit For Tat,8,COOPERATE,24
Selfish GPT-3.5-Turbo,9,COOPERATE,27
Tit For Tat,9,COOPERATE,27
Selfish GPT-3.5-Turbo,10,COOPERATE,30
Tit For Tat,10,COOPERATE,30
